ExperimentName,Subject,Block,Procedure.Block.,Procedure.Trial.,cue_target,ListNum,JOL,Prompt,Response,Correct?,Direction
T_JOL B,54,1,BlockProc2,StudyProc5,Star - Actress,25,75,Star - ?,,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Thread - Thimble,26,0,Thread - ?,,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Even - Revenge,27,25,Even - ?,fair,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Pop - Balloon,28,80,Pop - ?,,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Fruit - Strawberry,29,75,Fruit - ?,strawberry,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Best - Favorite,30,25,Best - ?,,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Cat - Panther,31,80,Cat - ?,mouse,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Glass - Breakable,32,25,Glass - ?,mirror,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Dead - Coffin,33,100,Dead - ?,coffin,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Plane - Aircraft,34,100,Plane - ?,fly,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Fish - Sardine,35,75,Fish - ?,sardine,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Baseball - League,36,100,Baseball - ?,bat,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Money - Banker,37,26,Money - ?,,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Honest - Truthful,38,100,Honest - ?,truth,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Sleep - Nap,39,100,Sleep - ?,,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Fight - Brawl,40, ,Fight - ?,flight,,B
T_JOL B,54,1,BlockProc2,StudyProc5,Razor - Shave,41,75,Razor - ?,shave,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Rights - Equal,42,75,Rights - ?,,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Mason - Jar,43,10,Mason - ?,,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Candle - Wax,44,80,Candle - ?,wax,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Wrist - Bracelet,45,70,Wrist - ?,write,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Element - Carbon,46,75,Element - ?,,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Gone - Away,47,75,Gone - ?,,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Water - Drink,48,100,Water,drink,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Earth - Ground,49,100,Earth - ?,ground,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Alone - Lonely,50,100,Alone - ?,,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Dry - Wet,51,75,Dry - ?,clothes,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Safety - Seatbelt,52,90,Safety - ?,belt,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Truth - Lie,53,75,Truth - ?,lie,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Phone - Communication,54,90,Phone - ?,communicate,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Rod - Reel,55,0,Rod - ?,,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Flea - Tick,56,100,Flea - ?,tick,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Loud - Noise,57,75,Loud - ?,soft,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Own - Have,58,60,Own - ?,rights,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Tantrum - Temper,59,75,Tantrum - ?,,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Sun - Tan,60,100,Sun - ?,,,S
T_JOL B,54,1,BlockProc2,StudyProc5,Justice - Maroon,61,0,Justice - ?,equal,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Stretch - Cloth,62,30,Stretch - ?,,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Give - Steak,63,27,Give - ?,,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Maze - Election,64,25,Maze - ?,,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Meat - Obtain,65,20,Meat - ?,,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Crackle - Able,66,10,Crackle - ?,,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Shell - Snake,67,25,Shell - ?,,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Listen - Fiction,68,29,Listen - ?,hear,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Keys - Joke,69,30,Keys - ?,car,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Cake - Clothes,70,0,Cake - ?,batter,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Name - Hate,71,70,Name - ?,,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Fuzzy - Bang,72,25,Fuzzy - ?,cat,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Moat - Clear,73,45,Moat - ?,,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Lease - Toil,74,25,Lease - ?,home,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Loan - Sign,75,60,Loan - ?,money,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Both - Ounce,76,1,Both - ?,,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Temperature - Morning,77,30,Temperature - ?,hot,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Mirror - Children,78,50,Mirror - ?,,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Main - Scar,79,1,Main - ?,,,U
T_JOL B,54,1,BlockProc2,StudyProc5,Charm - Vehicle,80,25,Charm - ?,,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Flip - Turn,1,15,Flip - ?,,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Windshield - Car,2,78,Windsield - ?,car,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Villain - Bad,3,90,Villian - ?,bad,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Penguin - Bird,4,25,Penguin - ?,bird,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Actress - Star,5,90,Actress - ?,main,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Thimble - Thread,6,75,Thimble - ?,trebble,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Revenge - Even,7,35,Revenge - ?,evil,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Balloon - Pop,8,58,Balloon - ?,pop,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Strawberry - Fruit,9,90,Strawberry - ?,fruit,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Favorite - Best,10,35,Favorite - ?,food,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Panther - Cat,11,90,Panther - ?,cat,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Breakable - Glass,12,78,Breakable - ?,glass,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Coffin - Dead,13,90,Coffin - ?,dead,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Aircraft - Plane,14,90,Aircraft - ?,fly,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Sardine - Fish,15,90,Sardine - ?,fish,,F
T_JOL D,64,1,BlockProc2,StudyProc5,League - Baseball,16,12,League - ?,major,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Banker - Money,17,90,Banker - ?,money,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Truthful - Honest,18,56,Truthful - ?,honest,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Nap - Sleep,19,50,Nap - ?,sleep,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Brawl - Fight,20,49,Brawl - ?,fight,,F
T_JOL D,64,1,BlockProc2,StudyProc5,Long - Extension,21,78,Long - ?,short,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Game - Clue,22,30,Game - ?,time,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Tie - Shoelace,23,90,Tie - ?,key,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Mystery - Detective,24,98,Mystery - ?,mile,,B
T_JOL D,64,1,BlockProc2,StudyProc5,End - Adjourn,25,89,End - ?,story,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Dog - Furry,26,90,Dog - ?,violence,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Trash - Litter,27,90,Trash - ?,litter,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Red - Cherry,28,90,Red - ?,rage,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Head - Scalp,29,55,Head - ?,toe,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Car - Driver,30, ,Car - ?,drive,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Cut - Chop,31,90,Cut - ?,off,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Donkey - Mule,32,70,Donkey - ?,mule,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Paper - Document,33,90,Paper - ?,pencil,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Smell - Incense,34,10,Smell - ?,werid,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Eat - Dine,35,35,Eat - ?,good,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Scissors - Shears,36,70,Scissors - ?,sheaters,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Fight - Feud,37, ,Fight - ?,brawl,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Plant - Cactus,38,50,Plant - ?,space,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Cold - Chill,39,90,Cold - ?,hot,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Love - Affection,40,90,Love - ?,affection,,B
T_JOL D,64,1,BlockProc2,StudyProc5,Shave - Razor,41,85,Shave - ?,sir,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Equal - Rights,42,90,Equal - ?,rights,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Jar - Mason,43,65,Jar - ?,mason,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Wax - Candle,44,90,Wax - ?,candle,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Bracelet - Wrist,45,90,Bracelet - ?,wrist,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Carbon - Element,46,10,Carbon - ?,copy,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Away - Gone,47,90,Away - ?,gone,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Drink - Water,48,100,Drink - ?,,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Ground - Earth,49,55,Ground - ?,level,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Lonely - Alone,50,100,Lonely - ?,depressed,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Seatbelt - Safety,51,55,Seatbelt - ?,safety,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Lie - Truth,52,90,Lie - ?,dishonest,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Communication - Phone,53,89,Communication - ?,write,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Reel - Rod,54,90,Reel - ?,,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Tick - Flea,55,90,Tick - ?,flea,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Noise - Loud,56,56,Noise - ?,loud,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Have - Own,57,0,Have - ?,got,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Temper - Tantrum,58,85,Temper - ?,trip,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Tan - Sun,59,90,Tan - ?,sun,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Maroon - Justice,60,0,Maroon - ?,red,,S
T_JOL D,64,1,BlockProc2,StudyProc5,Cloth - Stretch,61,78,Cloth - ?,clothes,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Election - Maze,62,10,Election - ?,day,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Charm - Vehicle,63, ,Charm - ?,school,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Obtain - Meat,64,10,Obtain - ?,maintain,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Able - Crackle,65,78,Able - ?,to,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Shake - Shell,66,67,Shake - ?,snake,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Fiction - Listen,67,67,Fiction - ?,literture,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Joke - Keys,68,12,Joke - ?,laugh,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Hate - Name,69, ,Hate - ?,love,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Bang - Fuzzy,70,65,Clear - ?,cloth,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Clear - Moat,71,15,Wet - ?,dry,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Wet - Dry,72,90,Bang - ?,pow,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Steak - Give,73,10,Steak - ?,,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Clothes - Cake,74,15,Clothes - ?,close,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Toil - Lease,75,0,Toil - ?,,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Sign - Loan,76, ,Sign - ?,,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Ounce - Both,77,10,Ounce - ?,liters,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Morning - Temperature,78,25,Morning - ?,night,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Children - Mirror,79,5,Children - ?,play,,U
T_JOL D,64,1,BlockProc2,StudyProc5,Main - Scar,80,10,Main - ?,star,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Extension - Long,1,95,Extension - ?,cord,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Clue - Game,2,23,Clue - ?,game,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Cactus - Plant,3,50,Cactus - ?,thorn,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Shoelace - Tie,4,50,Shoelace - ?,tie,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Detective - Mystery,5,12,Detective - ?,police,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Adjourn - End,6, ,Adjourn - ?,long,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Furry - Dog,7,15,Furry - ?,cold,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Litter - Trash,8,1,Litter - ?,cat,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Cherry - Red,9,100,Cherry - ?,red,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Scalp - Head,10,45,Scalp - ?,head,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Driver - Car,11, ,Driver - ?,car,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Chop - Cut,12,23,Chop - ?,cut,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Mule - Donkey,13, ,Mule - ?,,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Document - Paper,14,65,Document - ?,paper,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Incense - Smell,15,95,Incense - ?,smell,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Dine - Eat,16,100,Dine - ?,dinner,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Shears - Scissors,17,45,Shears - ?,,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Feud - Fight,18,60,Feud - ?,tide,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Chill - Cold,19,50,Chill - ?,cold,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Affection - Love,20,25,Affection - ?,love,,F
T_JOL B,66,1,BlockProc2,StudyProc5,Turn - Flip,21,15,Turn - ?,,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Car - Windshield,22,80,Car - ?,seatbelt,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Bad - Villain,23,3,Bad - ?,ugly,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Bird - Penguin,24,56,Bird - ?,penguin,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Star - Actress,25,95,Star - ?,,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Thread - Thimble,26,70,Thread - ?,needle,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Even - Revenge,27,60,Even - ?,number,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Pop - Balloon,28,95,Pop - ?,tart,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Fruit - Strawberry,29,100,Fruit - ?,red,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Best - Favorite,30,90,Best - ?,good,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Cat - Panther,31,80,Cat - ?,tie,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Glass - Breakable,32,28,Glass - ?,breakable,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Dead - Coffin,33,100,Dead - ?,coffin,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Plane - Aircraft,34,23,Plane - ?,crash,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Fish - Sardine,35,23,Fish - ?,salmon,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Baseball - League,36,100,Baseball - ?,league,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Money - Banker,37,30,Money - ?,cash,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Honest - Truthful,38,100,Honest - ?,lie,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Sleep - Nap,39, ,Sleep - ?,pillow,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Fight - Brawl,40,80,Fight - ?,night,,B
T_JOL B,66,1,BlockProc2,StudyProc5,Razor - Shave,41,23,Razor - ?,cut,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Rights - Equal,42,100,Rights - ?,justice,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Mason - Jar,43,30,Mason - ?,,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Candle - Wax,44,60,Candle - ?,wax,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Wrist - Bracelet,45,96,Wrist - ?,band,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Element - Carbon,46,70,Element - ?,,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Gone - Away,47,100,Gone - ?,away,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Water - Drink,48,100,Water,,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Earth - Ground,49,10,Earth - ?,round,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Alone - Lonely,50,95,Alone - ?,lonely,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Dry - Wet,51,23,Dry - ?,wet,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Safety - Seatbelt,52,75,Safety - ?,seatbelt,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Truth - Lie,53,95,Truth - ?,lie,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Phone - Communication,54,100,Phone - ?,talking,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Rod - Reel,55,25,Rod - ?,shoe,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Flea - Tick,56,590,Flea - ?,tick,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Loud - Noise,57,90,Loud - ?,noisy,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Own - Have,58,5,Own - ?,have,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Tantrum - Temper,59,100,Tantrum - ?,temper,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Sun - Tan,60,90,Sun - ?,tan,,S
T_JOL B,66,1,BlockProc2,StudyProc5,Justice - Maroon,61, ,Justice - ?,equal,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Stretch - Cloth,62,23,Stretch - ?,long,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Give - Steak,63,45,Give - ?,away,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Maze - Election,64,25,Maze - ?,game,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Meat - Obtain,65,1,Meat - ?,,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Crackle - Able,66,10,Crackle - ?,,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Shell - Snake,67,15,Shell - ?,snake,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Listen - Fiction,68,0,Listen - ?,ears,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Keys - Joke,69,23,Keys - ?,,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Cake - Clothes,70,10,Cake - ?,bottom,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Name - Hate,71,5,Name - ?,,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Fuzzy - Bang,72,25,Fuzzy - ?,cold,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Moat - Clear,73,90,Moat - ?,control,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Lease - Toil,74,50,Lease - ?,apartment,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Loan - Sign,75,12,Loan - ?,tittle,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Both - Ounce,76,0,Both - ?,agree,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Temperature - Morning,77,5,Temperature - ?,cold,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Mirror - Children,78,10,Mirror - ?,reflection,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Main - Scar,79,10,Main - ?,gate,,U
T_JOL B,66,1,BlockProc2,StudyProc5,Charm - Vehicle,80,35,Charm - ?,braclet,,U
T_JOL D,68,1,BlockProc2,StudyProc5,Flip - Turn,1,22,Flip - ?,flop,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Windshield - Car,2,65,Windsield - ?,,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Villain - Bad,3,98,Villian - ?,,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Penguin - Bird,4,87,Penguin - ?,,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Actress - Star,5,43,Actress - ?,actor,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Thimble - Thread,6, ,Thimble - ?,,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Revenge - Even,7,55,Revenge - ?,,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Balloon - Pop,8,8,Balloon - ?,pop,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Strawberry - Fruit,9,27,Strawberry - ?,juice,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Favorite - Best,10,45,Favorite - ?,chest,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Panther - Cat,11,9,Panther - ?,,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Breakable - Glass,12,67,Breakable - ?,shatter,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Coffin - Dead,13,66,Coffin - ?,dead,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Aircraft - Plane,14,13,Aircraft - ?,,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Sardine - Fish,15,9,Sardine - ?,,,F
T_JOL D,68,1,BlockProc2,StudyProc5,League - Baseball,16,62,League - ?,teams,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Banker - Money,17,0,Banker - ?,,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Truthful - Honest,18,43,Truthful - ?,hateful,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Nap - Sleep,19,9,Nap - ?,awake,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Brawl - Fight,20,7,Brawl - ?,fight,,F
T_JOL D,68,1,BlockProc2,StudyProc5,Long - Extension,21,57,Long - ?,short,,B
T_JOL D,68,1,BlockProc2,StudyProc5,Game - Clue,22,11,Game - ?,time,,B
T_JOL D,68,1,BlockProc2,StudyProc5,Tie - Shoelace,23,88,Tie - ?,fold,,B
T_JOL D,68,1,BlockProc2,StudyProc5,Mystery - Detective,24,96,Mystery - ?,clue,,B
T_JOL D,68,1,BlockProc2,StudyProc5,End - Adjourn,25,99,End - ?,begin,,B
T_JOL D,68,1,BlockProc2,StudyProc5,Dog - Furry,26,76,Dog - ?,cat,,B
T_JOL D,68,1,BlockProc2,StudyProc5,Trash - Litter,27,34,Trash - ?,can,,B
T_JOL D,68,1,BlockProc2,StudyProc5,Red - Cherry,28,98,Red - ?,blue,,B
T_JOL D,68,1,BlockProc2,StudyProc5,Head - Scalp,29,28,Head - ?,toes,,B
T_JOL D,68,1,BlockProc2,StudyProc5,Car - Driver,30,95,Car - ?,,,B
T_JOL D,68,1,BlockProc2,StudyProc5,Cut - Chop,31,54,Cut - ?,knife,,B
T_JOL D,68,1,BlockProc2,StudyProc5,Donkey - Mule,32,86,Donkey - ?,,,B
T_JOL D,68,1,BlockProc2,StudyProc5,Paper - Document,33,56,Paper - ?,cut,,B
T_JOL D,68,1,BlockProc2,StudyProc5,Smell - Incense,34,7,Smell - ?,see,,B
T_JOL D,68,1,BlockProc2,StudyProc5,Eat - Dine,35,9,Eat - ?,drink,,B
T_JOL D,68,1,BlockProc2,StudyProc5,Scissors - Shears,36,75,Scissors - ?,cut,,B
T_JOL D,68,1,BlockProc2,StudyProc5,Fight - Feud,37,3,Fight - ?,chill,,B
