ExperimentName,Subject,Block,Prompt,ListNum,Procedure[Trial],JOL,Cue-Target,Response,Correct?,Direction
D_JOL A,73,1,Sentence - Word,26,StudyProc3,95,Sentence - ?,word,1,
D_JOL A,73,1,Bug - Wasp,27,StudyProc3,25,Bug - ?,wasp,1,
D_JOL A,73,1,Math - Division,28,StudyProc3,75,Math - ?,numbers,0,
D_JOL A,73,1,Law - Attorney,29,StudyProc3,97,Law - ?,attorney,1,
D_JOL A,73,1,Great - Fantastic,30,StudyProc3,99,Great - ?,fantastic,1,
D_JOL A,73,1,Key - Latch,31,StudyProc3,20,Key - ?,latch,1,
D_JOL A,73,1,Hot - Chili,32,StudyProc3,11,Hot - ?,cold,0,
D_JOL A,73,1,Ball - Racket,33,StudyProc3,12,Ball - ?,racket,1,
D_JOL A,73,1,Work - Chore,34,StudyProc3,50,Work - ?,chore,1,
D_JOL A,73,1,Hunger - Famine,35,StudyProc3,95,Hunger - ?,famine,1,
D_JOL A,73,1,Sleep - Drowsy,36,StudyProc3,95,Sleep - ?,,0,
D_JOL A,73,1,Smell - Stench,37,StudyProc3,90,Smell - ?,stinch,1,
D_JOL A,73,1,Clothes - Attire,38,StudyProc3,95,Clothes - ?,attire,1,
D_JOL A,73,1,Plane - Pilot,39,StudyProc3,100,Plane - ?,pilot,1,
D_JOL A,73,1,Fire - Blaze,40,StudyProc3,77,Fire - ?,burn,0,
D_JOL A,73,1,Due - Assignment,41,StudyProc3,99,Due - ?,assignment,1,
D_JOL A,73,1,Number - Amount,42,StudyProc3,99,Number - ?,,0,
D_JOL A,73,1,Location - Site,43,StudyProc3,99,Location - ?,place,0,
D_JOL A,73,1,Dump - Waste,44,StudyProc3,100,Dump - ?,waste,1,
D_JOL A,73,1,Trial - Jury,45,StudyProc3,98,Trial - ?,jury,1,
D_JOL A,73,1,Architecture - Design,46,StudyProc3,89,Architecture - ?,design,1,
D_JOL A,73,1,Grill -Bar,47,StudyProc3,30,Grill - ?,,0,
D_JOL A,73,1,Kidney - Liver,48,StudyProc3,45,Kidney - ?,liver,1,
D_JOL A,73,1,Begin - End,49,StudyProc3,67,Begin - ?,end,1,
D_JOL A,73,1,Blow - Wind,50,StudyProc3,90,Blow - ?,wind,1,
D_JOL A,73,1,Pop - Soda,51,StudyProc3,100,Pop - ?,soda,1,
D_JOL A,73,1,Wine - Cheese,52,StudyProc3,100,Wine - ?,cheese,1,
D_JOL A,73,1,Bathroom - Toilet,53,StudyProc3,99,Bathroom - ?,toilet,1,
D_JOL A,73,1,Choice - Decision,54,StudyProc3,100,Choice - ?,decision,1,
D_JOL A,73,1,Shoe - Foot,55,StudyProc3,88,Shoe - ?,foot,1,
D_JOL A,73,1,Lettuce - Salad,56,StudyProc3,98,Lettuce - ?,salad,1,
D_JOL A,73,1,Past - Future,57,StudyProc3,45,Past - ?,future,1,
D_JOL A,73,1,Honey - Bee,58,StudyProc3,100,Honey - ?,bee,1,
D_JOL A,73,1,Baby - Child,59,StudyProc3,90,Baby - ?,child,1,
D_JOL A,73,1,Circle - Round,60,StudyProc3,88,Circle - ?,round,1,
D_JOL A,73,1,Pusher - Clutter,61,StudyProc3,7,Pusher - ?,,0,
D_JOL A,73,1,Dietary - Sacking,62,StudyProc3,0,Dietary - ?,,0,
D_JOL A,73,1,Park - Hungry,63,StudyProc3,0,Park - ?,car,0,
D_JOL A,73,1,Lift - Woman,64,StudyProc3,2,Lift - ?,woman,1,
D_JOL A,73,1,Soon - Belt,65,StudyProc3,21,Soon - ?,later,0,
D_JOL A,73,1,Discover - Floor,66,StudyProc3,5,Discover - ?,,0,
D_JOL A,73,1,Death - Business,67,StudyProc3,10,Death - ?,,0,
D_JOL A,73,1,Debate - Sight,68,StudyProc3,5,Debate - ?,,0,
D_JOL A,73,1,Artery - Bronze,69,StudyProc3,15,Artery - ?,,0,
D_JOL A,73,1,Fix - Hand,70,StudyProc3,4,Fix - ?,,0,
D_JOL A,73,1,Machine - Position,71,StudyProc3,2,Machine - ?,location,0,
D_JOL A,73,1,Happy - Car,72,StudyProc3,2,Happy - ?,glad,0,
D_JOL A,73,1,Allow - Tuck,73,StudyProc3,4,Allow - ?,,0,
D_JOL A,73,1,Art - Lion,74,StudyProc3,0,Art - ?,,0,
D_JOL A,73,1,Strong - Accident,75,StudyProc3,2,Strong - ?,weak,0,
D_JOL A,73,1,Sugar - Riddle,76,StudyProc3,5,Sugar - ?,,0,
D_JOL A,73,1,Valley - Add,77,StudyProc3,3,Valley - ?,,0,
D_JOL A,73,1,Cash - Would,78,StudyProc3,2,Cash - ?,,0,
D_JOL A,73,1,Hide - Sick,79,StudyProc3,0,Hide - ?,seek,0,
D_JOL A,73,1,King - Vase,80,StudyProc3,0,King - ?,,0,
D_JOL B,74,1,Extension - Long,1,StudyProc5,100,Extension - ?,long,1,
D_JOL B,74,1,Clue - Game,2,StudyProc5,100,Clue - ?,mystery,0,
D_JOL B,74,1,Cactus - Plant,3,StudyProc5,100,Cactus - ?,plant,1,
D_JOL B,74,1,Shoelace - Tie,4,StudyProc5,100,Shoelace - ?,tie,1,
D_JOL B,74,1,Detective - Mystery,5,StudyProc5,100,Detective - ?,mystery,1,
D_JOL B,74,1,Adjourn - End,6,StudyProc5,50,Adjourn - ?,love,0,
D_JOL B,74,1,Furry - Dog,7,StudyProc5,100,Furry - ?,dog,1,
D_JOL B,74,1,Litter - Trash,8,StudyProc5,100,Litter - ?,trash,1,
D_JOL B,74,1,Cherry - Red,9,StudyProc5,100,Cherry - ?,fruit,0,
D_JOL B,74,1,Scalp - Head,10,StudyProc5,100,Scalp - ?,skull,0,
D_JOL B,74,1,Driver - Car,11,StudyProc5,100,Driver - ?,lincense,0,
D_JOL B,74,1,Chop - Cut,12,StudyProc5,100,Chop - ?,cut,1,
D_JOL B,74,1,Mule - Donkey,13,StudyProc5,100,Mule - ?,donkey,1,
D_JOL B,74,1,Document - Paper,14,StudyProc5,100,Document - ?,paper,1,
D_JOL B,74,1,Incense - Smell,15,StudyProc5,50,Incense - ?,small,1,
D_JOL B,74,1,Dine - Eat,16,StudyProc5,100,Dine - ?,Wine,0,
D_JOL B,74,1,Shears - Scissors,17,StudyProc5,50,Shears - ?,stuck,0,
D_JOL B,74,1,Feud - Fight,18,StudyProc5,100,Feud - ?,brawl,0,
D_JOL B,74,1,Chill - Cold,19,StudyProc5,100,Chill - ?,netflix,0,
D_JOL B,74,1,Affection - Love,20,StudyProc5,100,Affection - ?,love,1,
D_JOL B,74,1,Turn - Flip,21,StudyProc5,100,Turn - ?,heads,0,
D_JOL B,74,1,Car - Windshield,22,StudyProc5,100,Car - ?,note,0,
D_JOL B,74,1,Bad - Villain,23,StudyProc5,100,Bad - ?,villian,1,
D_JOL B,74,1,Bird - Penguin,24,StudyProc5,100,Bird - ?,fly,0,
D_JOL B,74,1,Star - Actress,25,StudyProc5,100,Star - ?,light,0,
D_JOL B,74,1,Thread - Thimble,26,StudyProc5,50,Thread - ?,spread,0,
D_JOL B,74,1,Even - Revenge,27,StudyProc5,0,Even - ?,revenge,1,
D_JOL B,74,1,Pop - Balloon,28,StudyProc5,100,Pop - ?,baloon,1,
D_JOL B,74,1,Fruit - Strawberry,29,StudyProc5,100,Fruit - ?,strawberry,1,
D_JOL B,74,1,Best - Favorite,30,StudyProc5,100,Best - ?,friend,0,
D_JOL B,74,1,Cat - Panther,31,StudyProc5,100,Cat - ?,dog,0,
D_JOL B,74,1,Glass - Breakable,32,StudyProc5,75,Glass - ?,water,0,
D_JOL B,74,1,Dead - Coffin,33,StudyProc5,100,Dead - ?,coffin,1,
D_JOL B,74,1,Plane - Aircraft,34,StudyProc5,100,Plane - ?,down,0,
D_JOL B,74,1,Fish - Sardine,35,StudyProc5,100,Fish - ?,water,0,
D_JOL B,74,1,Baseball - League,36,StudyProc5,100,Baseball - ?,league,1,
D_JOL B,74,1,Money - Banker,37,StudyProc5,100,Money - ?,big,0,
D_JOL B,74,1,Honest - Truthful,38,StudyProc5,100,Honest - ?,truth,0,
D_JOL B,74,1,Sleep - Nap,39,StudyProc5,100,Sleep - ?,wake,0,
D_JOL B,74,1,Fight - Brawl,40,StudyProc5,100,Fight - ?,brawl,1,
D_JOL B,74,1,Razor - Shave,41,StudyProc5,100,Razor - ?,shave,1,
D_JOL B,74,1,Rights - Equal,42,StudyProc5,100,Rights - ?,lie,0,
D_JOL B,74,1,Mason - Jar,43,StudyProc5,50,Mason - ?,run,0,
D_JOL B,74,1,Candle - Wax,44,StudyProc5,100,Candle - ?,light,0,
D_JOL B,74,1,Wrist - Bracelet,45,StudyProc5,100,Wrist - ?,bracelate,1,
D_JOL B,74,1,Element - Carbon,46,StudyProc5,100,Element - ?,structure,0,
D_JOL B,74,1,Gone - Away,47,StudyProc5,100,Gone - ?,away,1,
D_JOL B,74,1,Water - Drink,48,StudyProc5,100,Water,bottl,0,
D_JOL B,74,1,Earth - Ground,49,StudyProc5,100,Earth - ?,ground,1,
D_JOL B,74,1,Alone - Lonely,50,StudyProc5,100,Alone - ?,lonely,1,
D_JOL B,74,1,Dry - Wet,51,StudyProc5,100,Dry - ?,wet,1,
D_JOL B,74,1,Safety - Seatbelt,52,StudyProc5,100,Safety - ?,seatbelt,1,
D_JOL B,74,1,Truth - Lie,53,StudyProc5,100,Truth - ?,lie,1,
D_JOL B,74,1,Phone - Communication,54,StudyProc5,100,Phone - ?,communication,1,
D_JOL B,74,1,Rod - Reel,55,StudyProc5,50,Rod - ?,fish,0,
D_JOL B,74,1,Flea - Tick,56,StudyProc5,100,Flea - ?,insect,0,
D_JOL B,74,1,Loud - Noise,57,StudyProc5,100,Loud - ?,noise,1,
D_JOL B,74,1,Own - Have,58,StudyProc5,100,Own - ?,have,1,
D_JOL B,74,1,Tantrum - Temper,59,StudyProc5,100,Tantrum - ?,temper,1,
D_JOL B,74,1,Sun - Tan,60,StudyProc5,100,Sun - ?,shine,0,
D_JOL B,74,1,Justice - Maroon,61,StudyProc5,10,Justice - ?,rights,0,
D_JOL B,74,1,Stretch - Cloth,62,StudyProc5,100,Stretch - ?,extension,0,
D_JOL B,74,1,Give - Steak,63,StudyProc5,50,Give - ?,have,0,
D_JOL B,74,1,Maze - Election,64,StudyProc5,40,Maze - ?,game,0,
D_JOL B,74,1,Meat - Obtain,65,StudyProc5,50,Meat - ?,big,0,
D_JOL B,74,1,Crackle - Able,66,StudyProc5,10,Crackle - ?,pop,0,
D_JOL B,74,1,Shell - Snake,67,StudyProc5,50,Shell - ?,sea,0,
D_JOL B,74,1,Listen - Fiction,68,StudyProc5,50,Listen - ?,queitly,0,
D_JOL B,74,1,Keys - Joke,69,StudyProc5,50,Keys - ?,joke,1,
D_JOL B,74,1,Cake - Clothes,70,StudyProc5,50,Cake - ?,shirt,0,
D_JOL B,74,1,Name - Hate,71,StudyProc5,50,Name - ?,tag,0,
D_JOL B,74,1,Fuzzy - Bang,72,StudyProc5,0,Fuzzy - ?,bear,0,
D_JOL B,74,1,Moat - Clear,73,StudyProc5,50,Moat - ?,big,0,
D_JOL B,74,1,Lease - Toil,74,StudyProc5,10,Lease - ?,car,0,
D_JOL B,74,1,Loan - Sign,75,StudyProc5,100,Loan - ?,sign,1,
D_JOL B,74,1,Both - Ounce,76,StudyProc5,50,Both - ?,clue,0,
D_JOL B,74,1,Temperature - Morning,77,StudyProc5,75,Temperature - ?,morning,1,
D_JOL B,74,1,Mirror - Children,78,StudyProc5,100,Mirror - ?,children,1,
D_JOL B,74,1,Main - Scar,79,StudyProc5,50,Main - ?,attraction,0,
D_JOL B,74,1,Charm - Vehicle,80,StudyProc5,,Vehicle - ?,car,,
D_JOL B,74,2,Delinquent - Bad,1,StudyProc3,50,Delinquent - ?,time,0,
D_JOL B,74,2,Digestion - Stomach,2,StudyProc3,100,Digestion - ?,stomach,1,
D_JOL B,74,2,Wage - Money,3,StudyProc3,0,Wage - ?,money,1,
D_JOL B,74,2,Chisel - Hammer,4,StudyProc3,50,Chisel - ?,brick,0,
D_JOL B,74,2,Editor - News,5,StudyProc3,100,Editor - ?,writer,0,
D_JOL B,74,2,Hornet - Sting,6,StudyProc3,50,Hornet - ?,sting,1,
D_JOL B,74,2,Bitter - Cold,7,StudyProc3,50,Bitter - ?,sweet,0,
D_JOL B,74,2,Root - Plant,8,StudyProc3,100,Root - ?,plant,1,
D_JOL B,74,2,Swan - Bird,9,StudyProc3,50,Swan - ?,bird,1,
D_JOL B,74,2,Paw - Dog,10,StudyProc3,100,Paw - ?,dog,1,
D_JOL B,74,2,Way - Out,11,StudyProc3,100,Way - ?,out,1,
D_JOL B,74,2,Hygiene - Clean,12,StudyProc3,100,Hygiene - ?,clean,1,
D_JOL B,74,2,Bridge - Water,13,StudyProc3,100,Bridge - ?,water,1,
D_JOL B,74,2,Geology - Rock,14,StudyProc3,50,Geology - ?,rock,1,
D_JOL B,74,2,Revolution - War,15,StudyProc3,50,Revolution - ?,war,1,
D_JOL B,74,2,Discussion - Talk,16,StudyProc3,50,Discussion - ?,answer,0,
D_JOL B,74,2,Herd - Cow,17,StudyProc3,50,Herd - ?,cows,1,
D_JOL B,74,2,Credit - Card,18,StudyProc3,100,Credit - ?,card,1,
D_JOL B,74,2,Orchid - Flower,19,StudyProc3,0,Orchid - ?,bird,0,
D_JOL B,74,2,Tuna -  Fish,20,StudyProc3,100,Tuna - ?,sandwhich,0,
D_JOL B,74,2,Full - Enough,21,StudyProc3,100,Full - ?,enough,1,
D_JOL B,74,2,Drink - Sip,22,StudyProc3,100,Drink - ?,sip,1,
D_JOL B,74,2,Dark - Cave,23,StudyProc3,50,Dark - ?,alley,0,
D_JOL B,74,2,Take - Seize,24,StudyProc3,50,Take - ?,give,0,
D_JOL B,74,2,Height - Growth,25,StudyProc3,50,Height - ?,grow,0,
D_JOL B,74,2,Sentence - Word,26,StudyProc3,100,Sentence - ?,word,1,
D_JOL B,74,2,Bug - Wasp,27,StudyProc3,100,Bug - ?,insect,0,
D_JOL B,74,2,Math - Division,28,StudyProc3,100,Math - ?,problem,0,
D_JOL B,74,2,Law - Attorney,29,StudyProc3,50,Law - ?,attorney,1,
D_JOL B,74,2,Great - Fantastic,30,StudyProc3,50,Great - ?,fantastic,1,
D_JOL B,74,2,Key - Latch,31,StudyProc3,50,Key - ?,joke,0,
D_JOL B,74,2,Hot - Chili,32,StudyProc3,100,Hot - ?,chilli,1,
D_JOL B,74,2,Ball - Racket,33,StudyProc3,50,Ball - ?,shoot,0,
D_JOL B,74,2,Work - Chore,34,StudyProc3,100,Work - ?,placew,0,
D_JOL B,74,2,Hunger - Famine,35,StudyProc3,50,Hunger - ?,very,0,
D_JOL B,74,2,Sleep - Drowsy,36,StudyProc3,100,Sleep - ?,uo,0,
D_JOL B,74,2,Smell - Stench,37,StudyProc3,50,Smell - ?,stench,1,
D_JOL B,74,2,Clothes - Attire,38,StudyProc3,100,Clothes - ?,attire,1,
D_JOL B,74,2,Plane - Pilot,39,StudyProc3,100,Plane - ?,piolit,1,
D_JOL B,74,2,Fire - Blaze,40,StudyProc3,50,Fire - ?,truck,0,
D_JOL B,74,2,Due - Assignment,41,StudyProc3,100,Due - ?,assignment,1,
D_JOL B,74,2,Number - Amount,42,StudyProc3,50,Number - ?,amount,1,
D_JOL B,74,2,Location - Site,43,StudyProc3,50,Location - ?,site,1,
D_JOL B,74,2,Dump - Waste,44,StudyProc3,50,Dump - ?,trash,0,
D_JOL B,74,2,Trial - Jury,45,StudyProc3,100,Trial - ?,run,0,
D_JOL B,74,2,Architecture - Design,46,StudyProc3,100,Architecture - ?,design,1,
D_JOL B,74,2,Grill -Bar,47,StudyProc3,100,Grill - ?,bar,1,
D_JOL B,74,2,Kidney - Liver,48,StudyProc3,100,Kidney - ?,liver,1,
D_JOL B,74,2,Begin - End,49,StudyProc3,100,Begin - ?,end,1,
D_JOL B,74,2,Blow - Wind,50,StudyProc3,100,Blow - ?,me,0,
D_JOL B,74,2,Pop - Soda,51,StudyProc3,100,Pop - ?,ballon,0,
D_JOL B,74,2,Wine - Cheese,52,StudyProc3,100,Wine - ?,cheese,1,
D_JOL B,74,2,Bathroom - Toilet,53,StudyProc3,100,Bathroom - ?,toilet,1,
D_JOL B,74,2,Choice - Decision,54,StudyProc3,50,Choice - ?,decision,1,
D_JOL B,74,2,Shoe - Foot,55,StudyProc3,100,Shoe - ?,foot,1,
D_JOL B,74,2,Lettuce - Salad,56,StudyProc3,100,Lettuce - ?,salad,1,
D_JOL B,74,2,Past - Future,57,StudyProc3,100,Past - ?,time,0,
D_JOL B,74,2,Honey - Bee,58,StudyProc3,100,Honey - ?,bee,1,
D_JOL B,74,2,Baby - Child,59,StudyProc3,100,Baby - ?,children,0,
D_JOL B,74,2,Circle - Round,60,StudyProc3,100,Circle - ?,round,1,
D_JOL B,74,2,Pusher - Clutter,61,StudyProc3,50,Pusher - ?,up,0,
D_JOL B,74,2,Dietary - Sacking,62,StudyProc3,50,Dietary - ?,lunch,0,
D_JOL B,74,2,Park - Hungry,63,StudyProc3,50,Park - ?,lot,0,
D_JOL B,74,2,Lift - Woman,64,StudyProc3,50,Lift - ?,up,0,
D_JOL B,74,2,Soon - Belt,65,StudyProc3,50,Soon - ?,tobe,0,
D_JOL B,74,2,Discover - Floor,66,StudyProc3,50,Discover - ?,something,0,
D_JOL B,74,2,Death - Business,67,StudyProc3,50,Death - ?,coffin,0,
D_JOL B,74,2,Debate - Sight,68,StudyProc3,50,Debate - ?,cookie,0,
D_JOL B,74,2,Artery - Bronze,69,StudyProc3,50,Artery - ?,design,0,
D_JOL B,74,2,Fix - Hand,70,StudyProc3,100,Fix - ?,it,0,
D_JOL B,74,2,Machine - Position,71,StudyProc3,50,Machine - ?,gun,0,
D_JOL B,74,2,Happy - Car,72,StudyProc3,50,Happy - ?,car,1,
D_JOL B,74,2,Allow - Tuck,73,StudyProc3,0,Allow - ?,accept,0,
D_JOL B,74,2,Art - Lion,74,StudyProc3,50,Art - ?,design,0,
D_JOL B,74,2,Strong - Accident,75,StudyProc3,100,Strong - ?,man,0,
D_JOL B,74,2,Sugar - Riddle,76,StudyProc3,50,Sugar - ?,riddle,1,
D_JOL B,74,2,Valley - Add,77,StudyProc3,50,Valley - ?,hill,0,
D_JOL B,74,2,Cash - Would,78,StudyProc3,50,Cash - ?,loan,0,
D_JOL B,74,2,Hide - Sick,79,StudyProc3,50,Hide - ?,sick,1,
D_JOL B,74,2,King - Vase,80,StudyProc3,50,King - ?,man,0,
D_JOL A,77,2,Extension - Long,1,StudyProc5,100,Extension - ?,long,1,
D_JOL A,77,2,Clue - Game,2,StudyProc5,55,Clue - ?,game,1,
