ExperimentName,Subject,Block,Prompt,ListNum,Procedure[Trial],JOL,Cue-Target,Response,Correct?,Direction,,,JOL_Bin,SDEV,n,lower,Average,upper
D_JOL B,94,1,Give - Steak,63,StudyProc5,0,Give - ?,up,0,U,,,,,,,,
D_JOL B,94,1,Crackle - Able,66,StudyProc5,0,Crackle - ?,pop,0,U,,,,,,,,
D_JOL B,94,1,Name - Hate,71,StudyProc5,0,Name - ?,paper,0,U,,,,,,,,
D_JOL B,94,1,Moat - Clear,73,StudyProc5,0,Moat - ?,mule,0,U,,,,,,,,
D_JOL B,94,1,Both - Ounce,76,StudyProc5,0,Both - ?,pairs,0,U,,,,,,,,
D_JOL B,94,1,Mirror - Children,78,StudyProc5,0,Mirror - ?,bird,0,U,,,,,,,,
D_JOL B,94,1,Main - Scar,79,StudyProc5,0,Main - ?,majority,0,U,,,,,,,,
D_JOL B,94,2,Debate - Sight,68,StudyProc3,0,Debate - ?,discuss,0,U,,,,,,,,
D_JOL B,94,2,Hide - Sick,79,StudyProc3,0,Hide - ?,seek,0,U,,,,,,,,
D_JOL B,98,1,Keys - Joke,69,StudyProc5,0,Keys - ?,,0,U,,,,,,,,
D_JOL B,98,1,Name - Hate,71,StudyProc5,0,Name - ?,person,0,U,,,,,,,,
D_JOL B,98,1,Fuzzy - Bang,72,StudyProc5,0,Fuzzy - ?,cat,0,U,,,,,,,,
D_JOL B,98,2,Pusher - Clutter,61,StudyProc3,0,Pusher - ?,reciever,0,U,,,,,,,,
D_JOL B,98,2,Park - Hungry,63,StudyProc3,0,Park - ?,baseball,0,U,,,,,,,,
D_JOL B,98,2,Discover - Floor,66,StudyProc3,0,Discover - ?,place,0,U,,,,,,,,
D_JOL B,98,2,Allow - Tuck,73,StudyProc3,0,Allow - ?,take,0,U,,,,,,,,
D_JOL B,98,2,Sugar - Riddle,76,StudyProc3,0,Sugar - ?,truck,0,U,,,,,,,,
D_JOL D,100,1,Able - Crackle,65,StudyProc5,0,Able - ?,,0,U,,,,,,,,
D_JOL D,100,1,Steak - Give,73,StudyProc5,0,Steak - ?,,0,U,,,,,,,,
D_JOL D,100,2,Sacking - Dietary,62,StudyProc3,0,Sacking - ?,,0,U,,,,,,,,
D_JOL D,100,2,Woman - Lift,64,StudyProc3,0,Woman - ?,lift,1,U,,,,,,,,
D_JOL D,100,2,Belt - Soon,65,StudyProc3,0,Belt - ?,,0,U,,,,,,,,
D_JOL D,100,2,Floor - Discover,66,StudyProc3,0,Floor - ?,,0,U,,,,,,,,
D_JOL D,100,2,Sight - Debate,68,StudyProc3,0,Sight - ?,,0,U,,,,,,,,
D_JOL D,100,2,Bronze - Artery,69,StudyProc3,0,Bronze - ?,,0,U,,,,,,,,
D_JOL D,100,2,Car - Happy,72,StudyProc3,0,Car - ?,happy,1,U,,,,,,,,
D_JOL D,100,2,Lion - Art,74,StudyProc3,0,Lion - ?,art,1,U,,,,,,,,
D_JOL D,100,2,Riddle - Sugar,76,StudyProc3,0,Riddle - ?,,0,U,,,,,,,,
D_JOL D,100,2,Add - Valley,77,StudyProc3,0,Add - ?,,0,U,,,,,,,,
D_JOL D,100,2,Would - Cash,78,StudyProc3,0,Would - ?,cash,1,U,,,,,,,,
D_JOL D,100,2,Sick - Hide,79,StudyProc3,0,Sick - ?,,0,U,,,,,,,,
D_JOL D,100,2,Vase - King,80,StudyProc3,0,Vase - ?,king,1,U,,,,,,,,
D_JOL C,103,2,Election - Maze,62,StudyProc5,0,Election - ?,competition,0,U,,,,,,,,
D_JOL C,103,2,Obtain - Meat,64,StudyProc5,0,Obtain - ?,get,0,U,,,,,,,,
D_JOL C,103,2,Able - Crackle,65,StudyProc5,0,Able - ?,,0,U,,,,,,,,
D_JOL C,103,2,Joke - Keys,68,StudyProc5,0,Joke - ?,,0,U,,,,,,,,
D_JOL C,103,2,Clear - Moat,71,StudyProc5,0,Clear - ?,,0,U,,,,,,,,
D_JOL C,103,2,Main - Scar,80,StudyProc5,0,Main - ?,,0,U,,,,,,,,
D_JOL C,103,1,Sacking - Dietary,62,StudyProc3,0,Sacking - ?,,0,U,,,,,,,,
D_JOL C,103,1,Hungry - Park,63,StudyProc3,0,Hungry - ?,food,0,U,,,,,,,,
D_JOL C,103,1,Belt - Soon,65,StudyProc3,0,Belt - ?,buckle,0,U,,,,,,,,
D_JOL C,103,1,Business - Death,67,StudyProc3,0,Business - ?,cow,0,U,,,,,,,,
D_JOL C,103,1,Sight - Debate,68,StudyProc3,0,Sight - ?,eye,0,U,,,,,,,,
D_JOL C,103,1,Lion - Art,74,StudyProc3,0,Lion - ?,dog,0,U,,,,,,,,
D_JOL C,103,1,Riddle - Sugar,76,StudyProc3,0,Riddle - ?,rhyme,0,U,,,,,,,,
D_JOL C,103,1,Add - Valley,77,StudyProc3,0,Add - ?,subtrac,0,U,,,,,,,,
D_JOL C,103,1,Would - Cash,78,StudyProc3,0,Would - ?,,0,U,,,,,,,,
D_JOL C,103,1,Sick - Hide,79,StudyProc3,0,Sick - ?,money,0,U,,,,,,,,
D_JOL D,104,1,Bang - Fuzzy,70,StudyProc5,0,Bang - ?,,0,U,,,,,,,,
D_JOL D,104,2,Hungry - Park,63,StudyProc3,0,Hungry - ?,,0,U,,,,,,,,
D_JOL D,104,2,Woman - Lift,64,StudyProc3,0,Woman - ?,,0,U,,,,,,,,
D_JOL D,104,2,Floor - Discover,66,StudyProc3,0,Floor - ?,,0,U,,,,,,,,
D_JOL D,104,2,Business - Death,67,StudyProc3,0,Business - ?,,0,U,,,,,,,,
D_JOL D,104,2,Car - Happy,72,StudyProc3,0,Car - ?,,0,U,,,,,,,,
D_JOL D,104,2,Add - Valley,77,StudyProc3,0,Add - ?,,0,U,,,,,,,,
D_JOL A,105,2,Justice - Maroon,61,StudyProc5,0,Justice - ?,law,0,U,,,,,,,,
D_JOL A,105,2,Stretch - Cloth,62,StudyProc5,0,Stretch - ?,,0,U,,,,,,,,
D_JOL A,105,2,Maze - Election,64,StudyProc5,0,Maze - ?,Election,1,U,,,,,,,,
D_JOL A,105,2,Crackle - Able,66,StudyProc5,0,Crackle - ?,,0,U,,,,,,,,
D_JOL A,105,2,Listen - Fiction,68,StudyProc5,0,Listen - ?,,0,U,,,,,,,,
D_JOL A,105,2,Cake - Clothes,70,StudyProc5,0,Cake - ?,,0,U,,,,,,,,
D_JOL A,105,2,Moat - Clear,73,StudyProc5,0,Moat - ?,,0,U,,,,,,,,
D_JOL A,105,2,Lease - Toil,74,StudyProc5,0,Lease - ?,write,0,U,,,,,,,,
D_JOL A,105,2,Mirror - Children,78,StudyProc5,0,Mirror - ?,children,1,U,,,,,,,,
D_JOL A,105,1,Dietary - Sacking,62,StudyProc3,0,Dietary - ?,,0,U,,,,,,,,
D_JOL A,73,2,Moat - Clear,73,StudyProc5,1,Fuzzy - ?,clear,1,U,,,,,,,,
D_JOL A,77,2,Maze - Election,64,StudyProc5,1,Maze - ?,store,0,U,,,,,,,,
D_JOL A,77,2,Meat - Obtain,65,StudyProc5,1,Meat - ?,,0,U,,,,,,,,
D_JOL A,77,1,Artery - Bronze,69,StudyProc3,1,Artery - ?,vein,0,U,,,,,,,,
D_JOL B,78,2,Artery - Bronze,69,StudyProc3,1,Artery - ?,kidney,0,U,,,,,,,,
D_JOL C,79,2,Steak - Give,73,StudyProc5,1,Steak - ?,,0,U,,,,,,,,
D_JOL C,83,1,Hungry - Park,63,StudyProc3,1,Hungry - ?,Food,0,U,,,,,,,,
D_JOL D,84,2,Hungry - Park,63,StudyProc3,1,Hungry - ?,famine,0,U,,,,,,,,
D_JOL D,84,2,Business - Death,67,StudyProc3,1,Business - ?,money,0,U,,,,,,,,
D_JOL D,84,2,Sight - Debate,68,StudyProc3,1,Sight - ?,vision,0,U,,,,,,,,
D_JOL D,84,2,Car - Happy,72,StudyProc3,1,Car - ?,windshield,0,U,,,,,,,,
D_JOL D,84,2,Add - Valley,77,StudyProc3,1,Add - ?,Subtract,0,U,,,,,,,,
D_JOL D,84,2,Would - Cash,78,StudyProc3,1,Would - ?,should,0,U,,,,,,,,
D_JOL D,84,2,Vase - King,80,StudyProc3,1,Vase - ?,flowers,0,U,,,,,,,,
D_JOL C,87,2,Charm - Vehicle,63,StudyProc5,1,Charm - ?,braclet,0,U,,,,,,,,
D_JOL D,88,2,Bronze - Artery,69,StudyProc3,1,Bronze - ?,,0,U,,,,,,,,
D_JOL A,89,2,Maze - Election,64,StudyProc5,1,Maze - ?,tree,0,U,,,,,,,,
D_JOL A,89,2,Crackle - Able,66,StudyProc5,1,Crackle - ?,laugh,0,U,,,,,,,,
D_JOL A,89,1,Cash - Would,78,StudyProc3,1,Cash - ?,card,0,U,,,,,,,,
D_JOL B,90,1,Fuzzy - Bang,72,StudyProc5,1,Fuzzy - ?,,0,U,,,,,,,,
D_JOL B,106,1,Maze - Election,64,StudyProc5,1,Maze - ?,,0,U,,,,,,,,
D_JOL B,106,1,Meat - Obtain,65,StudyProc5,1,Meat - ?,,0,U,,,,,,,,
D_JOL D,108,1,Obtain - Meat,64,StudyProc5,1,Obtain - ?,,0,U,,,,,,,,
D_JOL D,108,1,Able - Crackle,65,StudyProc5,1,Able - ?,Action,0,U,,,,,,,,
D_JOL D,108,1,Fiction - Listen,67,StudyProc5,1,Fiction - ?,Tale,0,U,,,,,,,,
D_JOL D,108,1,Joke - Keys,68,StudyProc5,1,Joke - ?,Play,0,U,,,,,,,,
D_JOL D,108,1,Hate - Name,69,StudyProc5,1,Hate - ?,Sad,0,U,,,,,,,,
D_JOL D,108,1,Bang - Fuzzy,70,StudyProc5,1,Bang - ?,,0,U,,,,,,,,
D_JOL D,108,1,Children - Mirror,79,StudyProc5,1,Children - ?,,0,U,,,,,,,,
D_JOL D,108,2,Accident - Strong,75,StudyProc3,1,Accident - ?,Car,0,U,,,,,,,,
D_JOL A,93,2,Maze - Election,64,StudyProc5,1,Maze - ?,runner,0,U,,,,,,,,
D_JOL A,93,2,Meat - Obtain,65,StudyProc5,1,Meat - ?,obtain,1,U,,,,,,,,
D_JOL A,93,2,Crackle - Able,66,StudyProc5,1,Crackle - ?,able,1,U,,,,,,,,
D_JOL A,93,2,Shell - Snake,67,StudyProc5,1,Shell - ?,snake,1,U,,,,,,,,
D_JOL A,93,1,Soon - Belt,65,StudyProc3,1,Soon - ?,later,0,U,,,,,,,,
D_JOL A,73,2,Give - Steak,63,StudyProc5,2,Give - ?,taek,0,U,,,,,,,,
D_JOL A,73,2,Maze - Election,64,StudyProc5,2,Maze - ?,election,1,U,,,,,,,,
D_JOL A,73,2,Meat - Obtain,65,StudyProc5,2,Vehicle - ?,,0,U,,,,,,,,
D_JOL A,73,1,Lift - Woman,64,StudyProc3,2,Lift - ?,woman,1,U,,,,,,,,
D_JOL A,73,1,Machine - Position,71,StudyProc3,2,Machine - ?,location,0,U,,,,,,,,
D_JOL A,73,1,Happy - Car,72,StudyProc3,2,Happy - ?,glad,0,U,,,,,,,,
D_JOL A,73,1,Strong - Accident,75,StudyProc3,2,Strong - ?,weak,0,U,,,,,,,,
D_JOL A,73,1,Cash - Would,78,StudyProc3,2,Cash - ?,,0,U,,,,,,,,
D_JOL A,77,2,Justice - Maroon,61,StudyProc5,2,Justice - ?,law,0,U,,,,,,,,
D_JOL A,77,2,Cake - Clothes,70,StudyProc5,2,Cake - ?,fur,0,U,,,,,,,,
D_JOL A,77,2,Main - Scar,79,StudyProc5,2,Main - ?,entry,0,U,,,,,,,,
D_JOL A,77,1,Valley - Add,77,StudyProc3,2,Valley - ?,plain,0,U,,,,,,,,
D_JOL C,83,1,Sight - Debate,68,StudyProc3,2,Sight - ?,Look,0,U,,,,,,,,
D_JOL D,88,2,Clutter - Pusher,61,StudyProc3,2,Clutter - ?,,0,U,,,,,,,,
D_JOL A,89,2,Stretch - Cloth,62,StudyProc5,2,Stretch - ?,clothes,0,U,,,,,,,,
D_JOL A,89,2,Give - Steak,63,StudyProc5,2,Give - ?,away,0,U,,,,,,,,
D_JOL A,89,2,Keys - Joke,69,StudyProc5,2,Keys - ?,car,0,U,,,,,,,,
D_JOL A,89,2,Name - Hate,71,StudyProc5,2,Name - ?,,0,U,,,,,,,,
D_JOL A,89,2,Mirror - Children,78,StudyProc5,2,Mirror - ?,window,0,U,,,,,,,,
D_JOL A,89,2,Main - Scar,79,StudyProc5,2,Main - ?,stree,0,U,,,,,,,,
D_JOL A,89,1,Happy - Car,72,StudyProc3,2,Happy - ?,sad,0,U,,,,,,,,
D_JOL D,92,1,Morning - Temperature,78,StudyProc5,2,Morning - ?,temperature,1,U,,,,,,,,
D_JOL D,92,2,Would - Cash,78,StudyProc3,2,Would - ?,could,0,U,,,,,,,,
D_JOL D,92,2,Vase - King,80,StudyProc3,2,Vase - ?,king,1,U,,,,,,,,
D_JOL A,93,2,Both - Ounce,76,StudyProc5,2,Both - ?,all,0,U,,,,,,,,
D_JOL A,93,2,Mirror - Children,78,StudyProc5,2,Mirror - ?,children,1,U,,,,,,,,
D_JOL A,93,1,Allow - Tuck,73,StudyProc3,2,Allow - ?,tuck,1,U,,,,,,,,
D_JOL B,94,2,Happy - Car,72,StudyProc3,2,Happy - ?,sad,0,U,,,,,,,,
D_JOL A,97,1,Sugar - Riddle,76,StudyProc3,2,Sugar - ?,,0,U,,,,,,,,
D_JOL B,98,1,Both - Ounce,76,StudyProc5,2,Both - ?,two,0,U,,,,,,,,
D_JOL A,101,2,Both - Ounce,76,StudyProc5,2,Both - ?,lock,0,U,,,,,,,,
D_JOL A,73,2,Justice - Maroon,61,StudyProc5,3,Justice - ?,league,0,U,,,,,,,,
D_JOL A,73,2,Both - Ounce,76,StudyProc5,3,Loan - ?,,0,U,,,,,,,,
D_JOL A,73,2,Main - Scar,79,StudyProc5,3,Mirror - ?,important,0,U,,,,,,,,
D_JOL A,73,2,Charm - Vehicle,80,StudyProc5,3,Main - ?,car,0,U,,,,,,,,
D_JOL A,73,1,Valley - Add,77,StudyProc3,3,Valley - ?,,0,U,,,,,,,,
D_JOL C,83,2,Charm - Vehicle,63,StudyProc5,3,Charm - ?,wit,0,U,,,,,,,,
D_JOL C,83,2,Main - Scar,80,StudyProc5,3,Main - ?,side,0,U,,,,,,,,
D_JOL D,84,2,Woman - Lift,64,StudyProc3,3,Woman - ?,grow,0,U,,,,,,,,
D_JOL C,87,2,Election - Maze,62,StudyProc5,3,Election - ?,vote,0,U,,,,,,,,
D_JOL A,89,2,Listen - Fiction,68,StudyProc5,3,Listen - ?,tell,0,U,,,,,,,,
D_JOL A,89,1,Artery - Bronze,69,StudyProc3,3,Artery - ?,Brain,0,U,,,,,,,,
D_JOL B,106,1,Temperature - Morning,77,StudyProc5,3,Temperature - ?,tantrum,0,U,,,,,,,,
D_JOL D,92,1,Clear - Moat,71,StudyProc5,3,Clear - ?,lass,0,U,,,,,,,,
D_JOL A,93,2,Justice - Maroon,61,StudyProc5,3,Justice - ?,trial,0,U,,,,,,,,
D_JOL A,93,2,Give - Steak,63,StudyProc5,3,Give - ?,take,0,U,,,,,,,,
D_JOL A,93,1,Valley - Add,77,StudyProc3,3,Valley - ?,add,1,U,,,,,,,,
D_JOL D,96,2,Add - Valley,77,StudyProc3,3,Add - ?,,0,U,,,,,,,,
D_JOL A,97,2,Crackle - Able,66,StudyProc5,3,Crackle - ?,Amble,0,U,,,,,,,,
D_JOL A,97,2,Lease - Toil,74,StudyProc5,3,Lease - ?,Toil,1,U,,,,,,,,
D_JOL A,97,1,Pusher - Clutter,61,StudyProc3,3,Pusher - ?,,0,U,,,,,,,,
D_JOL A,97,1,Discover - Floor,66,StudyProc3,3,Discover - ?,Floor,1,U,,,,,,,,
D_JOL A,97,1,Death - Business,67,StudyProc3,3,Death - ?,Business,1,U,,,,,,,,
D_JOL A,97,1,Valley - Add,77,StudyProc3,3,Valley - ?,Add,1,U,,,,,,,,
D_JOL A,101,2,Maze - Election,64,StudyProc5,3,Maze - ?,election,1,U,,,,,,,,
D_JOL A,101,2,Cake - Clothes,70,StudyProc5,3,Cake - ?,sweet,0,U,,,,,,,,
D_JOL A,101,2,Moat - Clear,73,StudyProc5,3,Moat - ?,loaf,0,U,,,,,,,,
D_JOL A,101,1,Debate - Sight,68,StudyProc3,3,Debate - ?,debate,0,U,,,,,,,,
D_JOL B,102,1,Both - Ounce,76,StudyProc5,3,Both - ?,Have,0,U,,,,,,,,
D_JOL A,73,1,Fix - Hand,70,StudyProc3,4,Fix - ?,,0,U,,,,,,,,
D_JOL A,73,1,Allow - Tuck,73,StudyProc3,4,Allow - ?,,0,U,,,,,,,,
