ExperimentName,Subject,Group,Block,Trial,STIM,TASK,Switch,Congruent,CVOE,Response,Key,PCVstim.RT
CVOE updated,1,1,1,47,E 23,,,FALSE,CV,p,p,568
CVOE updated,1,1,1,48,S 61,,,TRUE,CV,q,q,465
CVOE updated,1,1,1,49,U 67,,,FALSE,CV,p,p,564
CVOE updated,1,1,1,50,H 32,,,FALSE,CV,q,q,507
CVOE updated,1,1,1,51,U 50,,,TRUE,CV,p,p,635
CVOE updated,1,1,1,52,O 49,,,FALSE,CV,p,p,2704
CVOE updated,1,1,1,53,U 32,,,TRUE,CV,p,p,865
CVOE updated,1,1,1,54,J 78,,,FALSE,CV,q,q,523
CVOE updated,1,1,1,55,S 54,,,FALSE,CV,q,q,577
CVOE updated,1,1,1,56,J 27,,,TRUE,CV,q,q,680
CVOE updated,1,1,1,57,S 06,,,FALSE,CV,q,q,387
CVOE updated,1,1,1,58,D 67,,,TRUE,CV,q,q,411
CVOE updated,1,1,1,59,A 79,,,FALSE,CV,p,p,500
CVOE updated,1,1,1,60,S 52,,,FALSE,CV,q,q,490
CVOE updated,1,1,1,61,U 16,,,TRUE,CV,p,p,1018
CVOE updated,1,1,1,62,O 82,,,TRUE,CV,p,p,609
CVOE updated,1,1,1,63,H 87,,,TRUE,CV,q,q,586
CVOE updated,1,1,1,64,I 32,,,TRUE,CV,p,p,397
CVOE updated,1,1,1,65,U 37,,,FALSE,CV,p,p,543
CVOE updated,1,1,1,66,I 42,,,TRUE,CV,p,p,455
CVOE updated,1,1,1,67,D 65,,,TRUE,CV,q,q,432
CVOE updated,1,1,1,68,U 77,,,FALSE,CV,p,p,619
CVOE updated,1,1,1,69,E 12,,,TRUE,CV,p,p,464
CVOE updated,1,1,1,70,I 60,,,TRUE,CV,p,p,490
CVOE updated,1,1,1,71,J 36,,,FALSE,CV,q,q,545
CVOE updated,1,1,1,72,H 75,,,TRUE,CV,q,q,2057
CVOE updated,1,1,1,73,I 50,,,TRUE,CV,p,p,504
CVOE updated,1,1,1,74,E 99,,,FALSE,CV,p,p,771
CVOE updated,1,1,1,75,A 86,,,TRUE,CV,p,p,596
CVOE updated,1,1,1,76,U 48,,,TRUE,CV,p,p,514
CVOE updated,1,1,1,77,E 01,,,FALSE,CV,p,p,468
CVOE updated,1,1,1,78,A 78,,,TRUE,CV,p,p,356
CVOE updated,1,1,1,79,P 60,,,FALSE,CV,q,q,500
CVOE updated,1,1,1,80,E 43,,,FALSE,CV,p,p,662
CVOE updated,1,1,1,81,D 69,,,TRUE,CV,q,q,627
CVOE updated,1,1,1,82,H 11,,,TRUE,CV,q,q,634
CVOE updated,1,1,1,83,P 43,,,TRUE,CV,q,q,568
CVOE updated,1,1,1,84,O 67,,,FALSE,CV,p,p,433
CVOE updated,1,1,1,85,S 91,,,FALSE,CV,q,q,533
CVOE updated,1,1,1,86,J 68,,,TRUE,CV,q,q,674
CVOE updated,1,1,1,87,S 47,,,FALSE,CV,q,q,443
CVOE updated,1,1,1,88,I 81,,,TRUE,CV,p,p,478
CVOE updated,1,1,1,89,J 39,,,FALSE,CV,q,q,483
CVOE updated,1,1,1,90,A 11,,,TRUE,CV,p,p,454
CVOE updated,1,1,1,91,O 76,,,FALSE,CV,p,p,726
CVOE updated,1,1,1,92,A 62,,,FALSE,CV,p,p,563
CVOE updated,1,1,1,93,O 27,,,TRUE,CV,p,p,554
CVOE updated,1,1,1,94,E 66,,,FALSE,CV,p,p,653
CVOE updated,1,1,1,95,J 62,,,TRUE,CV,q,q,924
CVOE updated,1,1,1,96,H 72,,,TRUE,CV,q,q,541
CVOE updated,1,1,1,97,E 49,,,TRUE,CV,p,p,575
CVOE updated,1,1,1,98,D 52,,,TRUE,CV,q,q,754
CVOE updated,1,1,1,99,H 62,,,TRUE,CV,q,q,633
CVOE updated,1,1,1,100,I 11,,,TRUE,CV,p,p,544
CVOE updated,1,1,1,101,A 98,,,FALSE,CV,p,p,588
CVOE updated,1,1,1,102,H 29,,,FALSE,CV,q,q,516
CVOE updated,1,1,1,103,E 83,,,TRUE,CV,p,p,544
CVOE updated,1,1,1,104,D 43,,,FALSE,CV,q,q,919
CVOE updated,1,1,1,105,P 45,,,TRUE,CV,q,q,658
CVOE updated,1,1,1,106,J 17,,,TRUE,CV,q,q,504
CVOE updated,1,1,2,11,A 24,,,TRUE,OE,p,p,2299
CVOE updated,1,1,2,12,O 83,,,FALSE,OE,q,q,547
CVOE updated,1,1,2,13,H 55,,,TRUE,OE,q,q,1340
CVOE updated,1,1,2,14,P 10,,,FALSE,OE,p,p,1936
CVOE updated,1,1,2,15,D 30,,,FALSE,OE,p,p,667
CVOE updated,1,1,2,16,U 62,,,TRUE,OE,p,p,5075
CVOE updated,1,1,2,17,P 95,,,TRUE,OE,q,q,797
CVOE updated,1,1,2,18,U 06,,,TRUE,OE,p,p,910
CVOE updated,1,1,2,19,E 75,,,FALSE,OE,q,q,710
CVOE updated,1,1,2,20,I 67,,,FALSE,OE,q,q,1126
CVOE updated,1,1,2,21,S 13,,,TRUE,OE,q,q,638
CVOE updated,1,1,2,22,P 78,,,FALSE,OE,p,p,775
CVOE updated,1,1,2,23,I 15,,,FALSE,OE,q,q,1924
CVOE updated,1,1,2,24,D 27,,,TRUE,OE,q,q,968
CVOE updated,1,1,2,25,O 94,,,TRUE,OE,p,p,583
CVOE updated,1,1,2,26,A 65,,,FALSE,OE,q,q,622
CVOE updated,1,1,2,27,I 42,,,TRUE,OE,p,p,493
CVOE updated,1,1,2,28,E 25,,,FALSE,OE,q,q,683
CVOE updated,1,1,2,29,H 49,,,TRUE,OE,q,q,672
CVOE updated,1,1,2,30,S 18,,,FALSE,OE,p,p,772
CVOE updated,1,1,2,31,H 51,,,TRUE,OE,q,q,1035
CVOE updated,1,1,2,32,U 14,,,TRUE,OE,p,p,648
CVOE updated,1,1,2,33,E 02,,,TRUE,OE,q,p,462
CVOE updated,1,1,2,34,J 26,,,FALSE,OE,p,p,996
CVOE updated,1,1,2,35,D 24,,,FALSE,OE,p,p,704
CVOE updated,1,1,2,36,O 50,,,TRUE,OE,p,p,753
CVOE updated,1,1,2,37,U 16,,,TRUE,OE,p,p,615
CVOE updated,1,1,2,38,O 15,,,FALSE,OE,q,q,629
CVOE updated,1,1,2,39,D 32,,,FALSE,OE,p,p,593
CVOE updated,1,1,2,40,S 67,,,TRUE,OE,q,q,667
CVOE updated,1,1,2,41,J 74,,,FALSE,OE,p,p,584
CVOE updated,1,1,2,42,D 92,,,FALSE,OE,p,p,806
CVOE updated,1,1,2,43,A 65,,,FALSE,OE,q,q,910
CVOE updated,1,1,2,44,I 87,,,FALSE,OE,q,q,1626
CVOE updated,1,1,2,45,H 61,,,TRUE,OE,q,q,751
CVOE updated,1,1,2,46,E 59,,,FALSE,OE,q,q,1246
CVOE updated,1,1,2,47,I 33,,,FALSE,OE,q,q,1790
CVOE updated,1,1,2,48,O 90,,,TRUE,OE,p,p,1999
CVOE updated,1,1,2,49,U 51,,,FALSE,OE,q,q,1705
CVOE updated,1,1,2,50,A 10,,,TRUE,OE,p,p,809
CVOE updated,1,1,2,51,E 50,,,TRUE,OE,p,p,827
CVOE updated,1,1,2,52,D 92,,,FALSE,OE,p,p,645
CVOE updated,1,1,2,53,E 60,,,TRUE,OE,p,p,530
CVOE updated,1,1,2,54,A 95,,,FALSE,OE,q,q,670
CVOE updated,1,1,2,55,E 64,,,TRUE,OE,p,p,1069
CVOE updated,1,1,2,56,P 20,,,FALSE,OE,q,p,693
CVOE updated,1,1,2,57,S 06,,,FALSE,OE,p,p,992
CVOE updated,1,1,2,58,P 64,,,FALSE,OE,p,p,676
CVOE updated,1,1,2,59,U 70,,,TRUE,OE,p,p,931
CVOE updated,1,1,2,60,S 16,,,FALSE,OE,p,p,1158
CVOE updated,1,1,2,61,E 35,,,FALSE,OE,q,q,592
CVOE updated,1,1,2,62,I 93,,,FALSE,OE,q,q,1307
CVOE updated,1,1,2,63,D 63,,,TRUE,OE,q,q,809
CVOE updated,1,1,2,64,U 89,,,FALSE,OE,p,q,617
CVOE updated,1,1,2,65,E 91,,,FALSE,OE,q,q,550
CVOE updated,1,1,2,66,A 12,,,TRUE,OE,p,p,576
CVOE updated,1,1,2,67,P 56,,,FALSE,OE,q,p,580
CVOE updated,1,1,2,68,S 65,,,TRUE,OE,q,q,2551
CVOE updated,1,1,2,69,P 07,,,TRUE,OE,q,q,692
CVOE updated,1,1,2,70,I 77,,,FALSE,OE,q,q,514
CVOE updated,1,1,2,71,J 19,,,TRUE,OE,q,q,656
CVOE updated,1,1,2,72,O 59,,,FALSE,OE,q,q,577
CVOE updated,1,1,2,73,J 15,,,TRUE,OE,q,q,581
CVOE updated,1,1,2,74,I 89,,,FALSE,OE,q,q,530
CVOE updated,1,1,2,75,O 97,,,FALSE,OE,q,q,508
CVOE updated,1,1,2,76,A 92,,,TRUE,OE,p,p,601
CVOE updated,1,1,2,77,J 90,,,FALSE,OE,p,p,803
CVOE updated,1,1,2,78,H 65,,,TRUE,OE,q,q,548
CVOE updated,1,1,2,79,H 17,,,TRUE,OE,q,q,747
CVOE updated,1,1,2,80,S 26,,,FALSE,OE,p,p,856
CVOE updated,1,1,2,81,D 56,,,FALSE,OE,p,p,727
CVOE updated,1,1,2,82,I 91,,,FALSE,OE,q,q,604
CVOE updated,1,1,2,83,J 11,,,TRUE,OE,q,q,3823
CVOE updated,1,1,2,84,O 28,,,TRUE,OE,p,p,1164
CVOE updated,1,1,2,85,H 29,,,TRUE,OE,q,q,778
CVOE updated,1,1,2,86,J 25,,,TRUE,OE,q,q,676
CVOE updated,1,1,2,87,A 73,,,FALSE,OE,q,q,1936
CVOE updated,1,1,2,88,J 63,,,TRUE,OE,q,q,568
CVOE updated,1,1,2,89,U 84,,,TRUE,OE,p,p,657
CVOE updated,1,1,2,90,A 58,,,TRUE,OE,p,p,1580
CVOE updated,1,1,2,91,S 43,,,TRUE,OE,q,q,706
CVOE updated,1,1,2,92,H 54,,,FALSE,OE,p,p,479
CVOE updated,1,1,2,93,D 4,,,FALSE,OE,p,p,487
CVOE updated,1,1,2,94,J 75,,,TRUE,OE,q,q,561
CVOE updated,1,1,2,95,D 19,,,TRUE,OE,q,q,711
CVOE updated,1,1,2,96,J 38,,,FALSE,OE,p,p,2268
CVOE updated,1,1,2,97,I 56,,,TRUE,OE,p,p,858
CVOE updated,1,1,2,98,P 87,,,TRUE,OE,q,q,594
CVOE updated,1,1,2,99,O 80,,,TRUE,OE,p,p,633
CVOE updated,1,1,2,100,U 60,,,TRUE,OE,p,p,654
CVOE updated,1,1,2,101,P 48,,,FALSE,OE,p,p,783
CVOE updated,1,1,2,102,H 64,,,FALSE,OE,p,p,518
CVOE updated,1,1,2,103,A 13,,,FALSE,OE,q,q,895
CVOE updated,1,1,2,104,H 68,,,FALSE,OE,p,p,707
CVOE updated,1,1,2,105,E 16,,,TRUE,OE,p,p,394
CVOE updated,1,1,2,106,S 71,,,TRUE,OE,q,q,782
CVOE updated,1,1,3,11,A 44,Letter,N,TRUE,CV,q,p,6278
CVOE updated,1,1,3,12,D 94,Letter,N,FALSE,CV,q,q,774
CVOE updated,1,1,3,13,E 75,Number,Y,FALSE,OE,q,p,984
CVOE updated,1,1,3,14,H 81,Number,N,TRUE,OE,q,p,1156
CVOE updated,1,1,3,15,I 64,Letter,Y,TRUE,CV,p,p,1870
CVOE updated,1,1,3,16,J 54,Letter,N,FALSE,CV,q,q,1302
CVOE updated,1,1,3,17,O 23,Number,Y,FALSE,OE,q,q,1080
CVOE updated,1,1,3,18,P 05,Number,N,TRUE,OE,q,q,1037
CVOE updated,1,1,3,19,S 34,Letter,Y,FALSE,CV,q,q,2284
CVOE updated,1,1,3,20,U 88,Letter,N,TRUE,CV,p,p,2358
CVOE updated,1,1,3,21,A 70,Number,Y,TRUE,OE,p,p,5140
CVOE updated,1,1,3,22,D 12,Number,N,FALSE,OE,p,p,2017
CVOE updated,1,1,3,23,E 79,Letter,Y,FALSE,CV,p,p,1120
CVOE updated,1,1,3,24,H 72,Letter,N,FALSE,CV,q,q,1383
CVOE updated,1,1,3,25,I 41,Number,Y,FALSE,OE,q,q,1162
CVOE updated,1,1,3,26,J 63,Number,N,TRUE,OE,q,q,754
CVOE updated,1,1,3,27,O 03,Letter,Y,FALSE,CV,p,p,1394
CVOE updated,1,1,3,28,P 75,Letter,N,TRUE,CV,q,q,920
CVOE updated,1,1,3,29,S 61,Number,Y,TRUE,OE,q,q,1259
CVOE updated,1,1,3,30,U 28,Number,N,TRUE,OE,p,p,1628
CVOE updated,1,1,3,31,A 21,Letter,Y,FALSE,CV,p,p,1202
CVOE updated,1,1,3,32,D 18,Letter,N,FALSE,CV,q,q,696
CVOE updated,1,1,3,33,E 35,Number,Y,FALSE,OE,q,q,3027
CVOE updated,1,1,3,34,H 62,Number,N,FALSE,OE,p,p,5937
CVOE updated,1,1,3,35,I 82,Letter,Y,TRUE,CV,p,p,4390
CVOE updated,1,1,3,36,J 78,Letter,N,FALSE,CV,q,q,1014
CVOE updated,1,1,3,37,O 12,Number,Y,TRUE,OE,p,p,900
CVOE updated,1,1,3,38,P 13,Number,N,TRUE,OE,q,q,1314
CVOE updated,1,1,3,39,S 07,Letter,Y,TRUE,CV,q,q,1870
CVOE updated,1,1,3,40,U 36,Letter,N,TRUE,CV,p,p,1065
CVOE updated,1,1,3,41,A 96,Number,Y,TRUE,OE,p,p,1780
CVOE updated,1,1,3,42,D 04,Number,N,FALSE,OE,p,p,1409
CVOE updated,1,1,3,43,E 60,Letter,Y,TRUE,CV,p,p,3064
CVOE updated,1,1,3,44,H 83,Letter,N,TRUE,CV,q,q,3153
CVOE updated,1,1,3,45,I 64,Number,Y,TRUE,OE,p,p,876
CVOE updated,1,1,3,46,J 76,Number,N,FALSE,OE,p,p,2779
CVOE updated,1,1,3,47,O 78,Letter,Y,TRUE,CV,p,p,1225
CVOE updated,1,1,3,48,P 09,Letter,N,TRUE,CV,q,q,1086
CVOE updated,1,1,3,49,S 72,Number,Y,FALSE,OE,p,p,1121
CVOE updated,1,1,3,50,U 47,Number,N,FALSE,OE,q,q,1416
CVOE updated,1,1,3,51,A 31,Letter,Y,FALSE,CV,p,p,10266
CVOE updated,1,1,3,52,D 96,Letter,N,FALSE,CV,q,q,815
CVOE updated,1,1,3,53,E 40,Number,Y,TRUE,OE,p,p,1455
CVOE updated,1,1,3,54,H 79,Number,N,TRUE,OE,q,q,1198
CVOE updated,1,1,3,55,I 15,Letter,Y,FALSE,CV,p,p,1813
CVOE updated,1,1,3,56,J 07,Letter,N,TRUE,CV,q,q,659
CVOE updated,1,1,3,57,O 61,Number,Y,FALSE,OE,q,q,1764
CVOE updated,1,1,3,58,P 58,Number,N,FALSE,OE,p,p,3112
CVOE updated,1,1,3,59,S 37,Letter,Y,TRUE,CV,q,q,1908
CVOE updated,1,1,3,60,U 61,Letter,N,FALSE,CV,p,p,2186
CVOE updated,1,1,3,61,A 17,Number,Y,FALSE,OE,q,q,2114
CVOE updated,1,1,3,62,D 85,Number,N,TRUE,OE,q,q,2260
CVOE updated,1,1,3,63,E 20,Letter,Y,TRUE,CV,p,p,1388
CVOE updated,1,1,3,64,H 86,Letter,N,FALSE,CV,q,q,1471
CVOE updated,1,1,3,65,I 21,Number,Y,FALSE,OE,q,q,1775
CVOE updated,1,1,3,66,J 29,Number,N,TRUE,OE,q,q,1514
CVOE updated,1,1,3,67,O 13,Letter,Y,FALSE,CV,p,p,1135
CVOE updated,1,1,3,68,P 82,Letter,N,FALSE,CV,q,q,1062
CVOE updated,1,1,3,69,S 72,Number,Y,FALSE,OE,p,p,1697
CVOE updated,1,1,3,70,U 84,Number,N,TRUE,OE,p,p,1048
CVOE updated,1,1,3,71,A 49,Letter,Y,FALSE,CV,p,p,1002
CVOE updated,1,1,3,72,D 91,Letter,N,TRUE,CV,q,q,1549
CVOE updated,1,1,3,73,E 99,Number,Y,FALSE,OE,q,q,4038
CVOE updated,1,1,3,74,H 16,Number,N,FALSE,OE,p,p,7549
CVOE updated,1,1,3,75,I 45,Letter,Y,FALSE,CV,p,p,943
CVOE updated,1,1,3,76,J 70,Letter,N,FALSE,CV,q,q,846
CVOE updated,1,1,3,77,O 22,Number,Y,TRUE,OE,p,p,839
CVOE updated,1,1,3,78,P 41,Number,N,TRUE,OE,q,q,1393
CVOE updated,1,1,3,79,S 93,Letter,Y,TRUE,CV,q,q,1807
CVOE updated,1,1,3,80,U 70,Letter,N,TRUE,CV,p,p,1438
CVOE updated,1,1,3,81,A 42,Number,Y,TRUE,OE,p,p,1096
CVOE updated,1,1,3,82,D 85,Number,N,TRUE,OE,q,q,1199
CVOE updated,1,1,3,83,E 68,Letter,Y,TRUE,CV,p,p,1284
CVOE updated,1,1,3,84,H 17,Letter,N,TRUE,CV,q,q,2257
CVOE updated,1,1,3,85,I 70,Number,Y,TRUE,OE,p,p,1831
CVOE updated,1,1,3,86,J 88,Number,N,FALSE,OE,p,p,1482
CVOE updated,1,1,3,87,O 32,Letter,Y,TRUE,CV,p,p,2011
CVOE updated,1,1,3,88,P 95,Letter,N,TRUE,CV,q,q,1299
CVOE updated,1,1,3,89,S 98,Number,Y,FALSE,OE,p,p,1619
CVOE updated,1,1,3,90,U 37,Number,N,FALSE,OE,q,q,3488
CVOE updated,1,1,3,91,A 56,Letter,Y,TRUE,CV,p,p,1727
CVOE updated,1,1,3,92,D 57,Letter,N,TRUE,CV,q,q,1528
CVOE updated,1,1,3,93,E 93,Number,Y,FALSE,OE,q,q,5791
CVOE updated,1,1,3,94,H 27,Number,N,TRUE,OE,q,q,3451
CVOE updated,1,1,3,95,I 35,Letter,Y,FALSE,CV,p,p,1576
CVOE updated,1,1,3,96,J 03,Letter,N,TRUE,CV,q,q,1591
CVOE updated,1,1,3,97,O 28,Number,Y,TRUE,OE,p,p,1625
CVOE updated,1,1,3,98,P 59,Number,N,TRUE,OE,q,q,1582
CVOE updated,1,1,3,99,S 77,Letter,Y,TRUE,CV,q,q,1615
CVOE updated,1,1,3,100,U 05,Letter,N,FALSE,CV,p,p,1443
CVOE updated,1,1,3,101,A 56,Number,Y,TRUE,OE,p,p,762
CVOE updated,1,1,3,102,D 01,Number,N,TRUE,OE,q,q,6122
CVOE updated,1,1,3,103,E 02,Letter,Y,TRUE,CV,p,p,1375
CVOE updated,1,1,3,104,H 68,Letter,N,FALSE,CV,q,q,629
CVOE updated,1,1,3,105,I 05,Number,Y,FALSE,OE,q,q,2611
CVOE updated,1,1,3,106,J 55,Number,N,TRUE,OE,q,q,3697
CVOE updated,1,1,3,107,O 73,Letter,Y,FALSE,CV,p,p,1232
CVOE updated,1,1,3,108,P 41,Letter,N,TRUE,CV,q,q,853
CVOE updated,1,1,3,109,S 92,Number,Y,FALSE,OE,p,p,750
CVOE updated,1,1,3,110,U 34,Number,N,TRUE,OE,p,p,1159
CVOE updated,1,1,3,111,A 09,Letter,Y,FALSE,CV,p,p,762
CVOE updated,1,1,3,112,D 92,Letter,N,FALSE,CV,q,q,895
CVOE updated,1,1,3,113,E 48,Number,Y,TRUE,OE,p,p,1284
CVOE updated,1,1,3,114,H 76,Number,N,FALSE,OE,p,p,1240
CVOE updated,1,1,3,115,I 44,Letter,Y,TRUE,CV,p,p,1313
CVOE updated,1,1,3,116,J 67,Letter,N,TRUE,CV,q,q,1384
CVOE updated,1,1,3,117,O 48,Number,Y,TRUE,OE,p,p,1539
CVOE updated,1,1,3,118,P 22,Number,N,FALSE,OE,p,p,733
CVOE updated,1,1,3,119,S 86,Letter,Y,FALSE,CV,q,q,772
CVOE updated,1,1,3,120,U 35,Letter,N,FALSE,CV,p,p,5854
CVOE updated,1,1,3,121,A 91,Number,Y,FALSE,OE,q,q,1633
CVOE updated,1,1,3,122,D 78,Number,N,FALSE,OE,p,p,2228
CVOE updated,1,1,3,123,E 91,Letter,Y,FALSE,CV,p,p,2778
CVOE updated,1,1,3,124,H 54,Letter,N,FALSE,CV,q,q,2236
CVOE updated,1,1,3,125,I 65,Number,Y,FALSE,OE,q,q,1487
CVOE updated,1,1,3,126,J 52,Number,N,FALSE,OE,p,p,1996
CVOE updated,1,1,3,127,O 19,Letter,Y,FALSE,CV,q,p,3051
CVOE updated,1,1,3,128,P 48,Letter,N,FALSE,CV,q,q,4402
CVOE updated,1,1,3,129,S 45,Number,Y,TRUE,OE,q,q,1531
CVOE updated,1,1,3,130,U 26,Number,N,TRUE,OE,p,p,1440
CVOE updated,1,1,4,1,U 38,Number,N,TRUE,OE,p,p,5292
CVOE updated,1,1,4,2,P 73,Number,N,TRUE,OE,q,q,1932
CVOE updated,1,1,4,3,U 95,Letter,Y,FALSE,CV,p,p,1226
CVOE updated,1,1,4,4,J 61,Number,Y,TRUE,OE,q,q,2957
CVOE updated,1,1,4,5,D 51,Number,N,TRUE,OE,q,q,987
CVOE updated,1,1,4,6,S 28,Number,N,FALSE,OE,p,p,1200
CVOE updated,1,1,4,7,A 56,Letter,Y,TRUE,CV,p,p,3599
CVOE updated,1,1,4,8,H 78,Letter,N,FALSE,CV,q,q,808
CVOE updated,1,1,4,9,P 92,Letter,N,FALSE,CV,q,q,1335
CVOE updated,1,1,4,10,E 05,Number,Y,FALSE,OE,q,q,1172
CVOE updated,1,1,4,11,P 57,Letter,Y,TRUE,CV,q,q,2877
CVOE updated,1,1,4,12,D 88,Number,Y,FALSE,OE,p,p,1027
CVOE updated,1,1,4,13,O 89,Letter,Y,FALSE,CV,p,p,5851
CVOE updated,1,1,4,14,U 43,Number,Y,FALSE,OE,q,q,1175
CVOE updated,1,1,4,15,H 10,Number,N,FALSE,OE,q,p,1280
CVOE updated,1,1,4,16,S 07,Letter,Y,TRUE,CV,q,q,5824
CVOE updated,1,1,4,17,J 10,Letter,N,FALSE,CV,q,q,3833
CVOE updated,1,1,4,18,H 54,Number,Y,FALSE,OE,p,p,2301
CVOE updated,1,1,4,19,E 99,Number,N,FALSE,OE,q,q,1059
CVOE updated,1,1,4,20,J 36,Letter,Y,FALSE,CV,q,q,783
CVOE updated,1,1,4,21,I 94,Letter,N,TRUE,CV,p,p,817
CVOE updated,1,1,4,22,A 82,Letter,N,TRUE,CV,q,p,726
CVOE updated,1,1,4,23,H 79,Number,Y,TRUE,OE,q,q,1530
CVOE updated,1,1,4,24,J 60,Number,N,FALSE,OE,p,p,1129
CVOE updated,1,1,4,25,S 28,Letter,Y,FALSE,CV,q,q,1179
CVOE updated,1,1,4,26,P 11,Number,Y,TRUE,OE,q,q,1071
CVOE updated,1,1,4,27,D 39,Number,N,TRUE,OE,q,q,1155
CVOE updated,1,1,4,28,E 90,Number,N,TRUE,OE,p,p,981
CVOE updated,1,1,4,29,I 38,Number,N,TRUE,OE,p,p,963
CVOE updated,1,1,4,30,S 35,Letter,Y,TRUE,CV,q,q,1658
CVOE updated,1,1,4,31,D 41,Number,Y,TRUE,OE,q,q,973
CVOE updated,1,1,4,32,E 06,Number,N,TRUE,OE,p,p,1234
CVOE updated,1,1,4,33,A 27,Number,N,FALSE,OE,q,q,1374
CVOE updated,1,1,4,34,U 95,Letter,Y,FALSE,CV,p,p,938
CVOE updated,1,1,4,35,A 53,Letter,N,FALSE,CV,p,p,4786
CVOE updated,1,1,4,36,E 43,Letter,N,FALSE,CV,p,p,1022
CVOE updated,1,1,4,37,P 05,Number,Y,TRUE,OE,q,q,979
CVOE updated,1,1,4,38,O 19,Letter,Y,FALSE,CV,p,p,1300
CVOE updated,1,1,4,39,I 96,Number,Y,TRUE,OE,p,p,1439
CVOE updated,1,1,4,40,A 88,Number,N,TRUE,OE,p,p,864
CVOE updated,1,1,4,41,I 67,Number,N,FALSE,OE,q,q,905
CVOE updated,1,1,4,42,D 40,Number,N,FALSE,OE,p,p,1213
CVOE updated,1,1,4,43,P 79,Letter,Y,TRUE,CV,q,q,1144
CVOE updated,1,1,4,44,U 24,Number,Y,TRUE,OE,p,p,858
CVOE updated,1,1,4,45,P 74,Number,N,FALSE,OE,p,p,926
CVOE updated,1,1,4,46,E 70,Number,N,TRUE,OE,p,p,1649
CVOE updated,1,1,4,47,S 27,Number,N,TRUE,OE,q,q,2335
CVOE updated,1,1,4,48,E 54,Letter,Y,TRUE,CV,p,p,1254
CVOE updated,1,1,4,49,A 53,Letter,N,FALSE,CV,p,p,1707
CVOE updated,1,1,4,50,P 34,Letter,N,FALSE,CV,q,q,1039
CVOE updated,1,1,4,51,D 74,Number,Y,FALSE,OE,p,p,985
CVOE updated,1,1,4,52,A 03,Letter,Y,FALSE,CV,p,p,1161
CVOE updated,1,1,4,53,E 24,Number,Y,TRUE,OE,p,p,2948
CVOE updated,1,1,4,54,I 58,Letter,Y,TRUE,CV,p,p,1091
CVOE updated,1,1,4,55,D 77,Number,Y,TRUE,OE,q,q,2110
CVOE updated,1,1,4,56,S 75,Number,N,TRUE,OE,q,q,918
CVOE updated,1,1,4,57,I 20,Letter,Y,TRUE,CV,p,p,710
CVOE updated,1,1,4,58,J 52,Letter,N,FALSE,CV,q,q,975
CVOE updated,1,1,4,59,A 38,Number,Y,TRUE,OE,p,p,1220
